All Of This [feat. Robert Smith]	blink-182	no				
All That Glitters	Earl	yes	1bxwBJATDPRf99OS9FF0vR	All That Glitters	Tongue Tied	Earl
All That Really Matters (Stripped Version)	Illenium & Teddy Swims	no				
All To Him (Live)	Hillsong Worship	no				
All We Do	Oh Wonder	maybe	2yZKtBfdFdvcfjtAbSIsRb	All We Do	Trigga Reloaded	Trey Songz
Almost (Sweet Music)	Hozier	yes	5Apvsk0suoivI1H8CmBglv	Almost (Sweet Music)	Wasteland, Baby!	Hozier
Almost There	VARIOUS ARTISTS	maybe	2GLyruWagsv8o7aGNXboH1	Almost There	The Princess and the Frog (Original Motion Picture Soundtrack)	Anika Noni Rose
Almost There (From ''The Princess And The Frog'')	VARIOUS ARTISTS	no				
Alone	Monstercat	maybe	16rjXCCcu3APPtR4MUonZW	Alone	Monstercat 027 - Cataclysm	Marshmello
Alone	Marshmello	yes	3MEYFivt6bilQ9q9mFWZ4g	Alone	Alone	Marshmello
Always	blink-182	yes	1JfNuvdAIqI3ggkzXuBvPp	Always	blink-182	blink-182
Amber Jean	Neil Young International Harvesters	yes	1RJUQBh7ogAtkffNvMizQy	Amber Jean	A Treasure	Neil Young International Harvesters
Angels We Have Heard on High	The Piano Guys	yes	2S96r2pepRxVn0bw74dcZn	Angels We Have Heard on High	A Family Christmas	The Piano Guys
Angels We Have Heard On High	Tommee Profitt	yes	1A1Zv0gHNgDetkVQaoxsyO	Angels We Have Heard On High	The Birth Of A King	Tommee Profitt,Nicole Serrano
Angry World	Neil Young	no				
Animals	Nickelback	yes	3rjM7GhxdVq1YySsHBs21i	Animals	All the Right Reasons (Special Edition)	Nickelback
Anita	Armin van Buuren & Timmy Trumpet	maybe	2M2P3sbarzko7EWUtdaANf	Anita	Anita	Armin van Buuren,Timmy Trumpet
Another In The Fire (Live)	Hillsong UNITED	no				
Another Love (Tiësto Remix)	Tom Odell	no				
Another Sad Love Song	Khalid	yes	52Qu0no0NBho3zyRmjlsHn	Another Sad Love Song	American Teen	Khalid
Anthem Part Two (Live In Chicago)	blink-182	no				
Anthony	Nickel Creek	yes	5Y61rycSCa08YUU81cwN9E	Anthony	Why Should The Fire Die?	Nickel Creek
Any Moment	VARIOUS ARTISTS	maybe	4KMwGeo8UH9TbsPv1kuJaK	Any Moment	Into the Woods (Original Motion Picture Soundtrack/Deluxe Edition)	Chris Pine,Emily Blunt
Any Moment / Moments in the Woods	Original Broadway Cast of Into the Woods	yes	5eVCpPA1WwDkdgb6BlebV5	Any Moment / Moments in the Woods	Into the Woods (Original Broadway Cast Recording)	Joanna Gleason,Robert Westenberg,Original Broadway Cast of Into the Woods
Any Way the Wind Blows	Anaïs Mitchell	yes	7z7odcpduSOI6dDMhcOK1W	Any Way the Wind Blows	xoa	Anaïs Mitchell
Anybody Have a Map?	VARIOUS ARTISTS	maybe	0SjjcXfArhzePhEzDNkY8z	Anybody Have a Map?	Dear Evan Hansen (Original Broadway Cast Recording)	Rachel Bay Jones,Jennifer Laura Thompson
Anyone's Ghost	The National	yes	6NrjC9PUZo2do7aLhkf373	Anyone's Ghost	High Violet	The National
Anything Could Happen	Ellie Goulding	yes	7C7yqFTM0ncyJ04GIKrxdV	Anything Could Happen	Halcyon	Ellie Goulding
Apex Predator	Reneé Rapp & Auli'i Cravalho	maybe	7pfQ5U5XO54dlwzKcb47sf	Apex Predator	Mean Girls (Music From The Motion Picture)	Auli'i Cravalho,Jaquel Spivey
Applause	Lady Gaga	yes	5ka2ajep9OAvU5Sgduhiex	Applause	ARTPOP	Lady Gaga
Arabian Nights	VARIOUS ARTISTS	maybe	0CKmN3Wwk8W4zjU0pqq2cv	Arabian Nights	Aladdin (Original Motion Picture Soundtrack)	Bruce Adler,Disney
Arabian Nights	Alan Menken, Aladdin - Cast & Disney	maybe	0CKmN3Wwk8W4zjU0pqq2cv	Arabian Nights	Aladdin (Original Motion Picture Soundtrack)	Bruce Adler,Disney
Are You Ready For The Country?	Neil Young International Harvesters	no				
Are You Ready for the Country? (2009 Remaster)	Neil Young	no				
Aria	VARIOUS ARTISTS	no				
As I Am [feat. Khalid]	Justin Bieber	no				
As Long As You're Mine (From "Wicked" Original Broadway Cast Recording/2003)	VARIOUS ARTISTS	no				
Ashes	Stellar	yes	3Pj6u2KTgepyyidp5xfbHp	Ashes	Ashes	Stellar
Asthenia	blink-182	yes	153bsdXSG7KD3Q8ShRNpNK	Asthenia	blink-182	blink-182
Astronaut In The Ocean	Masked Wolf	yes	3Ofmpyhv5UAQ70mENzB277	Astronaut In The Ocean	Astronaut In The Ocean	Masked Wolf
Astronaut In The Ocean	Masked Wolf	yes	3Ofmpyhv5UAQ70mENzB277	Astronaut In The Ocean	Astronaut In The Ocean	Masked Wolf
At The End Of The Day	Les Misérables Cast	maybe	2wYXLVWNcqC7Cxlw92aCtK	At The End Of The Day	Les Misérables (Original 1985 London Cast Recording)	"Les Misérables Original London Cast" Ensemble
At The End Of The Day	VARIOUS ARTISTS	maybe	5dAcyJvjudUk85XGxAdPEr	At The End Of The Day	Always With Me (Deluxe)	The Movement
At the End of the Day (Live)	Claude-Michel Schönberg & Alain Boublil	no				
At Last	Etta James	yes	4Hhv2vrOTy89HFRcjU3QOx	At Last	At Last!	Etta James
At Last	Etta James	yes	4Hhv2vrOTy89HFRcjU3QOx	At Last	At Last!	Etta James
Atlas: Two	Sleeping At Last	no				
Atmosphere	TobyMac	yes	3AVAvAvoO4AgeC0qfu6z9y	Atmosphere	Welcome To Diverse City	TobyMac
Atmosphere (Remix) [feat. dc Talk]	TobyMac	no				
Attention	Charlie Puth	yes	5cF0dROlMOK5uNZtivgu50	Attention	Voicenotes	Charlie Puth
August's Rhapsody	August Rush (Motion Picture Soundtrack)	maybe	17NIyN82DBfiypPQEclsrv	August's Rhapsody	August Rush (Soundtrack)	Various Artists
Ave Maria	Winchester Cathedral Choir, Andrew Lumsden & Sarah Baldock, organist	maybe	5SjRHGPXp2GJ8RA4GQGQyE	Ave Maria	Marian Hymns at Ephesus	Oreste Ravanello,Benedictines of Mary, Queen of Apostles
Away In A Manger	Tommee Profitt	yes	2Z27DOWw2dQOzooKI8BbER	Away In A Manger	The Birth Of A King	Tommee Profitt,DANIEL SAINT BLACK,Ruelle
Away in a Manger	The Piano Guys	yes	4AdyjF5Db6nVtSkHSQVe7m	Away in a Manger	A Family Christmas	The Piano Guys
Awesome God	Rich Mullins	yes	5niLKxgCj4UriedJmPtJld	Awesome God	Winds Of Heaven, Stuff Of Earth	Rich Mullins
Bach / Break	August Rush (Motion Picture Soundtrack)	no				
Back To Black	Amy Winehouse	yes	30FURVTCpbKyykjSEQzGkH	Back To Black	Back To Black	Amy Winehouse
Back To Life (Live)	Bethel Music	yes	44aTdoCcquVC4xvX0YgZLn	Back To Life (Live)	Homecoming (Live)	Bethel Music,Zahriya Zachary
Back to the Palace (Bonus Track)	Original Broadway Cast of Into the Woods	no				
Back To You	Selena Gomez, OneRepublic & YUNGBLUD	maybe	514rhnksEwHUh6LxXsQ4Y9	Back To You	13 Reasons Why (Season 2)	Selena Gomez
Back To You	Lost Frequencies	yes	3K00Ib1shkOEiAXU5pec6e	Back To You	Back To You	Lost Frequencies,Elley Duhé,X Ambassadors
BACKBONE	Droeloe & Nevve	maybe	0TklENvWk96XWLk2qw2whN	BACKBONE	BACKBONE	DROELOE,Nevve
Backseat Driver [feat. Hollyn & Tru]	TobyMac	no				
Bad At Love	Halsey	yes	3OzCF9i6Ey7EkkAYJztmKp	Bad At Love	hopeless fountain kingdom (Deluxe Plus)	Halsey
Bad Blood	Taylor Swift	yes	273dCMFseLcVsoSWx59IoE	Bad Blood	1989	Taylor Swift
Bad Decisions	Ariana Grande	yes	76RIfPBraSmXWC9LryUztF	Bad Decisions	Dangerous Woman	Ariana Grande
bad guy	Billie Eilish	yes	2Fxmhks0bxGSBdJ92vM42m	bad guy	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	Billie Eilish
Bad Kind of Butterflies	Camila Cabello	yes	0Q2kFlgnqusKAqCDpCKAIY	Bad Kind of Butterflies	Romance	Camila Cabello
Bad Memories [feat. Elley Duhé & FAST BOY]	Meduza & James Carter [feat. Elley Duhé & Fast Boy]	no				
Bad Things	Machine Gun Kelly	maybe	1PSBzsahR2AKwLJgx8ehBj	Bad Things (with Camila Cabello)	bloom	mgk,Camila Cabello
La Bamba (Album Version)	August Rush (Motion Picture Soundtrack)	no				
Bane	alt-J	no				
Bang Bang	Jessie J	yes	0puf9yIluy9W0vpMEUoAnN	Bang Bang	Sweet Talker (Deluxe Version)	Jessie J,Ariana Grande,Nicki Minaj
Bang Bang	VARIOUS ARTISTS	maybe	61YzdCCBPM5Pc7lIiD5i8C	Bang Bang	Troubadour	K'NAAN,Adam Levine
Bang Bang	Ariana Grande	yes	0puf9yIluy9W0vpMEUoAnN	Bang Bang	Sweet Talker (Deluxe Version)	Jessie J,Ariana Grande,Nicki Minaj
Bang!	AJR	yes	4SQLQfcR0vhyIN4uPBlc0d	Bang!	OK ORCHESTRA	AJR
The Banjo Beat, Pt. 1	Ricky Desktop	yes	5O0JIw4YvvTdKlN9l69JFQ	The Banjo Beat, Pt. 1	The Banjo Beat, Pt. 1	Ricky Desktop
A Bar Song (Tipsy)	Shaboozey	yes	2FQrifJ1N335Ljm3TjTVVf	A Bar Song (Tipsy)	A Bar Song (Tipsy)	Shaboozey
The Bargain	Les Misérables Cast	maybe	7paDp4bj7qQU7Vtcg1bFPk	The Bargain	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	Isabelle Allen,Hugh Jackman,Helena Bonham Carter,Sasha Baron Cohen
Bari Improv	August Rush (Motion Picture Soundtrack)	maybe	5PNZXCb49IAOp68UUfd2db	Bari Improvs - Demo	August Rush (Original Score From The Motion Picture)	Mark Mancina
Bastards	Kesha	yes	318EGw5ZZB8U5MdMWQwxZQ	Bastards	Rainbow	Kesha
Battle Belongs	Phil Wickham	yes	3CwpNu67Qg1Mcl8WNtzUgo	Battle Belongs	Battle Belongs	Phil Wickham
Battle Scars (with Guy Sebastian)	Lupe Fiasco	yes	1hWYT0w2R0J19rlVkiez7X	Battle Scars (with Guy Sebastian)	Food & Liquor II: The Great American Rap Album, Pt. 1	Lupe Fiasco,Guy Sebastian
Be A Light [feat. Reba McEntire & Hillary Scott & Chris Tomlin & Keith Urban]	VARIOUS ARTISTS	no				
Be My Escape	Relient K	yes	5eK5xQl8EGzR5zYkxaDCAn	Be My Escape	Mmhmm	Relient K
Be Okay	Lauren Daigle	yes	717CKNCKUdDL17beOjQQEi	Be Okay	Lauren Daigle	Lauren Daigle
Beautiful	Andrew Lloyd Webber	yes	4ZkFD0WuqD0SP6b7n9jJBy	Beautiful	Love Never Dies	Andrew Lloyd Webber
Beautiful	VARIOUS ARTISTS	maybe	6tNQ70jh4OwmPGpYy6R2o9	Beautiful Things	Beautiful Things	Benson Boone
Beautiful Mistakes	Maroon 5	yes	5zFglKYiknIxks8geR8rcL	Beautiful Mistakes (feat. Megan Thee Stallion)	JORDI (Deluxe)	Maroon 5,Megan Thee Stallion
Beautiful Things	Gungor	yes	06wxyCQFJOT0bjvSPMQj7x	Beautiful Things	Beautiful Things	Gungor
Beautiful Things	Benson Boone	yes	6tNQ70jh4OwmPGpYy6R2o9	Beautiful Things	Beautiful Things	Benson Boone
